Tiempo, V1 , V2 ,N/a,N/a,N/a,N/a,N/a
0.000120,2.532000,2.483000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000144,2.595000,2.546000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000164,2.654000,2.620000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000188,2.703000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000212,2.752000,2.717000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000236,2.796000,2.752000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000260,2.810000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000284,2.845000,2.805000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000308,2.849000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000332,2.845000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000356,2.810000,2.796000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000380,2.805000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000404,2.776000,2.742000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000428,2.727000,2.693000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000448,2.674000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000472,2.620000,2.595000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000496,2.546000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000520,2.483000,2.463000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000544,2.414000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000568,2.346000,2.336000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000592,2.263000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000616,2.204000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000640,2.141000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000664,2.067000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000688,2.028000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000712,1.970000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000732,1.935000,1.911000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000756,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000780,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000804,1.877000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000828,1.882000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000852,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000876,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000900,1.950000,1.921000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000924,1.994000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000948,2.038000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000972,2.102000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.000996,2.165000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001016,2.224000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001040,2.307000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001064,2.375000,2.336000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001088,2.439000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001112,2.507000,2.468000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001144,2.576000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001164,2.654000,2.610000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001192,2.703000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001212,2.752000,2.717000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001236,2.796000,2.752000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001260,2.810000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001284,2.830000,2.796000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001308,2.849000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001332,2.845000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001356,2.810000,2.796000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001380,2.796000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001404,2.776000,2.737000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001428,2.722000,2.693000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001448,2.674000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001476,2.620000,2.595000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001496,2.546000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001520,2.483000,2.463000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001544,2.414000,2.400000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001568,2.346000,2.326000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001592,2.263000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001616,2.195000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001640,2.136000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001664,2.067000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001688,2.023000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001712,1.970000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001732,1.935000,1.911000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001760,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001780,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001804,1.877000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001828,1.882000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001852,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001876,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001900,1.950000,1.911000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001924,1.994000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001948,2.038000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001972,2.102000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.001996,2.165000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002016,2.224000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002044,2.307000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002064,2.380000,2.336000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002088,2.439000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002112,2.507000,2.468000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002136,2.576000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002168,2.639000,2.595000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002188,2.703000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002212,2.752000,2.717000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002236,2.796000,2.752000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002260,2.810000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002284,2.835000,2.805000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002308,2.849000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002332,2.845000,2.810000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002356,2.810000,2.796000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002380,2.805000,2.776000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002404,2.776000,2.742000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002424,2.717000,2.693000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002452,2.674000,2.654000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002472,2.620000,2.595000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002496,2.546000,2.537000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002520,2.483000,2.463000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002544,2.414000,2.405000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002568,2.346000,2.336000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002592,2.263000,2.263000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002616,2.204000,2.190000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002640,2.141000,2.126000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002664,2.067000,2.067000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002688,2.023000,2.014000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002708,1.970000,1.960000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002736,1.935000,1.911000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002756,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002780,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002804,1.877000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002828,1.882000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002852,1.891000,1.877000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
0.002876,1.911000,1.891000,0.973000,0.973000,1000.000000,1.000000,1535618560.000000
