T,V,
-0.0507,-0.02,0
-0.0506,-0.012,0
-0.0505,0.004,0
-0.0504,0.012,0
-0.0503,-0.016,0
-0.0502,-0.004,0
-0.0501,0.016,0
-0.05,0.008,0
-0.0499,0,0
-0.0498,0.004,0
-0.0497,-0.008,0
-0.0496,0.012,0
-0.0495,-0.008,0
-0.0494,0.008,0
-0.0493,0,0
-0.0492,0,0
-0.0491,0,-0.2
-0.049,-0.02,0
-0.0489,-0.032,0
-0.0488,0.008,-0.2
-0.0487,0.016,0
-0.0486,0.016,0
-0.0485,-0.004,0
-0.0484,-0.008,0
-0.0483,-0.016,0
-0.0482,0.012,0
-0.0481,-0.008,0
-0.048,-0.008,0
-0.0479,-0.024,0
-0.0478,0.008,0
-0.0477,0.012,0
-0.0476,-0.012,0
-0.0475,0.008,0
-0.0474,0.028,0
-0.0473,-0.004,0
-0.0472,0.008,0
-0.0471,-0.004,0
-0.047,0.008,0
-0.0469,0.008,0
-0.0468,0.028,0
-0.0467,0,0
-0.0466,-0.02,0
-0.0465,0.012,0
-0.0464,0.008,0
-0.0463,0.008,0
-0.0462,-0.032,0
-0.0461,-0.016,0
-0.046,0.016,0
-0.0459,0.012,0
-0.0458,-0.004,-0.2
-0.0457,-0.004,0
-0.0456,0.012,0.2
-0.0455,0.008,0
-0.0454,0.016,0
-0.0453,0.008,0
-0.0452,0,0
-0.0451,0.008,0.2
-0.045,-0.004,0
-0.0449,0.012,0
-0.0448,-0.016,0
-0.0447,0.012,0
-0.0446,-0.004,0
-0.0445,0,0
-0.0444,0.008,0
-0.0443,-0.008,0
-0.0442,-0.004,0
-0.0441,0.004,0
-0.044,0,0
-0.0439,-0.032,0
-0.0438,-0.016,0
-0.0437,-0.004,0
-0.0436,0,0
-0.0435,0,0
-0.0434,0,0
-0.0433,0.004,0
-0.0432,0,0
-0.0431,0,0
-0.043,-0.012,-0.2
-0.0429,0.016,0
-0.0428,-0.024,0
-0.0427,-0.012,0
-0.0426,0.004,0
-0.0425,-0.004,0.2
-0.0424,0.016,0
-0.0423,-0.004,0.2
-0.0422,-0.024,0
-0.0421,-0.02,-0.2
-0.042,0.004,0
-0.0419,-0.016,0
-0.0418,-0.008,0
-0.0417,0.008,0
-0.0416,-0.008,0
-0.0415,0,0
-0.0414,-0.004,0.2
