Tiempo,CH1(V),CH2(V),N/a1,N/a2,N/a3,N/a4,N/a5
0.001036,1.975000,1.955000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001072,2.058000,2.028000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001108,2.151000,2.116000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001144,2.253000,2.214000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001184,2.366000,2.326000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001220,2.478000,2.429000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001256,2.581000,2.537000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001292,2.674000,2.630000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001336,2.752000,2.703000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001372,2.810000,2.771000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001408,2.845000,2.805000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001444,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001484,2.820000,2.796000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001520,2.776000,2.752000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001556,2.703000,2.688000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001592,2.620000,2.600000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001632,2.517000,2.507000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001668,2.405000,2.400000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001704,2.297000,2.287000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001740,2.190000,2.190000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001780,2.092000,2.092000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001816,2.009000,2.009000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001852,1.940000,1.935000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001888,1.901000,1.891000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001928,1.877000,1.877000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.001964,1.887000,1.877000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002000,1.926000,1.911000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002036,1.984000,1.960000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002076,2.063000,2.028000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002112,2.151000,2.126000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002148,2.263000,2.224000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002184,2.375000,2.336000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002224,2.483000,2.439000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002260,2.586000,2.537000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002296,2.678000,2.634000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002332,2.757000,2.713000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002376,2.810000,2.776000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002412,2.845000,2.805000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002452,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002488,2.810000,2.791000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002524,2.766000,2.742000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002560,2.693000,2.674000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002600,2.610000,2.590000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002636,2.502000,2.493000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002672,2.395000,2.380000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002708,2.283000,2.278000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002748,2.170000,2.170000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002784,2.067000,2.067000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002820,1.994000,1.994000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002856,1.935000,1.931000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002896,1.896000,1.887000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002932,1.877000,1.872000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.002968,1.891000,1.877000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003004,1.931000,1.911000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003044,1.994000,1.970000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003080,2.067000,2.043000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003116,2.165000,2.131000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003152,2.273000,2.234000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003192,2.385000,2.346000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003228,2.498000,2.454000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003264,2.600000,2.556000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003300,2.693000,2.644000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003340,2.766000,2.722000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003380,2.820000,2.776000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003420,2.845000,2.805000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003456,2.845000,2.810000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003492,2.810000,2.781000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003528,2.761000,2.737000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003568,2.688000,2.664000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003604,2.595000,2.576000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003640,2.488000,2.478000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003676,2.380000,2.375000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003716,2.268000,2.263000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003752,2.160000,2.155000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003788,2.067000,2.063000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003824,1.989000,1.984000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003864,1.921000,1.921000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003900,1.891000,1.882000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003936,1.882000,1.872000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.003972,1.896000,1.882000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004012,1.935000,1.911000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004048,1.999000,1.970000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004084,2.082000,2.053000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004120,2.180000,2.151000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004160,2.287000,2.248000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004196,2.405000,2.361000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004232,2.512000,2.463000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004268,2.615000,2.566000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004308,2.703000,2.654000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004344,2.776000,2.727000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004380,2.820000,2.776000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004424,2.849000,2.805000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.004460,2.845000,2.805000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
